dataset,condition,hemi,subject_row,measure,value,dataset_pair
PNI,synthlayer_v0.3,R,21,consistency,,
PNI,synthlayer_v0.3,R,22,consistency,,
PNI,synthlayer_v0.3,R,23,consistency,,
PNI,synthlayer_v0.3,R,24,consistency,,
PNI,synthlayer_v0.3,R,25,consistency,,
MICs,T1w,L,0,consistency,0.9996691671369579,
MICs,T1w,L,1,consistency,0.990369422787914,
MICs,T1w,L,2,consistency,,
MICs,T1w,L,3,consistency,0.99851905503829,
MICs,T1w,L,4,consistency,0.9951234346971395,
MICs,T1w,L,5,consistency,0.9976407363347035,
MICs,T1w,L,6,consistency,,
MICs,T1w,L,7,consistency,,
MICs,T1w,L,8,consistency,0.9994283105651885,
MICs,T1w,L,9,consistency,,
MICs,T1w,L,10,consistency,,
MICs,T1w,L,11,consistency,,
MICs,T1w,L,12,consistency,,
MICs,T1w,L,13,consistency,,
MICs,T1w,L,14,consistency,0.9969880069369583,
MICs,T1w,L,15,consistency,0.9992887645995366,
MICs,T1w,L,16,consistency,,
MICs,T1w,L,17,consistency,,
MICs,T1w,L,18,consistency,,
MICs,T1w,L,19,consistency,,
MICs,T1w,L,20,consistency,,
MICs,T1w,L,21,consistency,,
MICs,T1w,L,22,consistency,,
MICs,T1w,L,23,consistency,,
MICs,T1w,L,24,consistency,,
MICs,T1w,L,25,consistency,,
MICs,T1w,R,0,consistency,0.9996315362911288,
MICs,T1w,R,1,consistency,0.9937044719925553,
MICs,T1w,R,2,consistency,,
MICs,T1w,R,3,consistency,0.999067767172173,
MICs,T1w,R,4,consistency,0.9955871807654108,
MICs,T1w,R,5,consistency,0.9969299625447844,
MICs,T1w,R,6,consistency,,
MICs,T1w,R,7,consistency,,
MICs,T1w,R,8,consistency,,
MICs,T1w,R,9,consistency,,
MICs,T1w,R,10,consistency,,
MICs,T1w,R,11,consistency,,
MICs,T1w,R,12,consistency,,
MICs,T1w,R,13,consistency,,
MICs,T1w,R,14,consistency,,
MICs,T1w,R,15,consistency,,
MICs,T1w,R,16,consistency,,
MICs,T1w,R,17,consistency,,
MICs,T1w,R,18,consistency,,
MICs,T1w,R,19,consistency,,
MICs,T1w,R,20,consistency,,
MICs,T1w,R,21,consistency,,
MICs,T1w,R,22,consistency,,
MICs,T1w,R,23,consistency,,
MICs,T1w,R,24,consistency,,
MICs,T1w,R,25,consistency,,
MICs,synthseg_v0.2,L,0,consistency,0.9971654795314998,
MICs,synthseg_v0.2,L,1,consistency,0.9931993480897544,
MICs,synthseg_v0.2,L,2,consistency,0.998433948832674,
MICs,synthseg_v0.2,L,3,consistency,0.9982691726519196,
MICs,synthseg_v0.2,L,4,consistency,0.9942155956278436,
MICs,synthseg_v0.2,L,5,consistency,0.9979430102809904,
MICs,synthseg_v0.2,L,6,consistency,,
MICs,synthseg_v0.2,L,7,consistency,,
MICs,synthseg_v0.2,L,8,consistency,0.9983834773576019,
MICs,synthseg_v0.2,L,9,consistency,,
MICs,synthseg_v0.2,L,10,consistency,,
MICs,synthseg_v0.2,L,11,consistency,,
MICs,synthseg_v0.2,L,12,consistency,,
MICs,synthseg_v0.2,L,13,consistency,,
MICs,synthseg_v0.2,L,14,consistency,0.996658447558375,
MICs,synthseg_v0.2,L,15,consistency,0.9982011279668576,
MICs,synthseg_v0.2,L,16,consistency,,
